domain_in_ip,length_url,url_shortened,qty_at_url,qty_dot_domain,tls_ssl_certificate,qty_hyphen_domain,url_google_index,domain_google_index,time_domain_activation,time_domain_expiration,phishing
0,16,1,0,2,0,0,0,0,2011,179,1
1,17,0,0,3,0,0,0,0,738,-1,1
0,69,0,1,1,1,0,0,0,2113,77,1
0,11,0,0,1,0,0,0,1,7617,51,0
0,324,0,1,2,0,1,0,0,3545,106,1
0,113,0,1,1,1,0,0,0,3137,149,1
0,42,0,1,1,1,0,0,0,1110,350,1
0,86,0,1,2,0,0,0,0,3110,176,1
0,232,0,1,1,0,0,0,0,2341,610,1
0,286,0,1,1,1,0,0,0,3178,108,1
0,60,0,1,1,0,0,0,0,3114,172,1
0,25,1,0,1,1,0,0,0,-1,-1,1
0,84,0,1,1,1,0,0,0,2706,215,1
0,185,0,1,1,0,0,0,0,5130,347,1
0,100,0,1,2,0,0,0,0,-1,-1,1
0,67,0,0,1,0,0,0,1,-1,-1,1
0,123,0,1,1,1,0,0,0,948,147,1
0,83,0,1,1,1,0,0,0,839,255,1
0,65,0,1,1,0,0,0,0,3473,178,1
0,23,0,0,2,1,0,1,1,5292,185,0
0,273,0,1,2,0,1,0,0,3544,107,1
0,18,0,0,2,0,0,1,0,6469,835,0
0,198,0,1,1,0,0,0,0,1047,48,1
0,230,0,1,1,0,0,0,0,2019,171,1
0,83,0,1,2,0,0,0,0,287,77,1
0,12,0,0,2,0,0,1,0,6982,322,0
0,73,0,1,2,1,0,0,0,-1,-1,1
0,23,0,0,3,0,0,-1,-1,-1,-1,0
0,86,0,1,2,1,0,0,0,-1,-1,1
0,249,0,1,1,0,0,0,0,199,165,1
0,148,0,1,1,0,0,0,0,7246,788,1
0,13,0,0,2,1,0,0,1,-1,-1,0
0,83,0,1,2,0,0,0,0,-1,-1,1
0,24,0,0,2,0,0,-1,-1,-1,-1,0
0,303,0,1,2,0,0,0,0,2937,349,1
0,80,0,1,1,1,0,0,0,109,621,1
0,24,0,0,2,1,0,0,1,7828,573,0
0,72,0,1,2,0,0,0,0,637,92,1
1,74,0,0,3,0,0,0,0,1183,-1,1
0,63,0,1,3,0,0,0,0,-1,-1,1
0,43,0,1,2,0,0,0,0,-1,-1,1
0,221,0,1,1,0,0,0,0,4513,234,1
1,98,0,0,3,0,0,0,0,2084,-1,1
0,113,0,1,1,1,0,0,0,1093,367,1
0,142,0,1,2,0,0,0,0,-1,-1,1
0,15,1,0,2,0,0,0,0,2732,555,1
0,130,0,1,2,0,0,0,0,-1,-1,1
0,242,0,1,1,1,0,0,0,182,182,1
1,27,0,0,3,0,0,0,0,485,-1,1
0,84,0,1,1,0,0,0,0,2627,294,1
0,102,0,1,1,0,0,0,0,1167,293,1
0,73,0,1,2,1,0,0,0,2079,111,1
0,155,0,1,3,0,0,0,0,-1,-1,1
0,38,0,1,1,1,0,0,0,1232,228,1
0,341,0,1,1,1,1,0,0,871,589,1
0,91,0,1,2,1,0,0,0,-1,-1,1
1,54,0,0,3,0,0,0,0,893,-1,1
0,63,0,1,2,0,0,0,0,753,341,1
0,80,0,1,2,1,0,0,0,-1,-1,1
0,102,0,1,1,0,0,0,0,2225,330,1
0,57,0,1,2,0,0,0,0,1388,72,1
0,27,0,0,3,0,0,1,0,-1,-1,0
1,42,0,0,3,0,0,0,0,-1,-1,1
0,76,0,1,1,1,0,0,0,1144,316,1
0,66,0,1,2,0,0,0,0,1388,72,1
0,78,0,1,1,0,0,0,0,1081,14,1
0,71,0,1,1,0,1,0,0,1240,220,1
0,14,1,0,1,0,0,0,0,7249,785,1
1,26,0,0,3,0,0,0,0,1208,-1,1
0,69,0,1,3,1,0,0,0,3465,2378,1
0,65,0,1,1,0,0,0,0,260,104,1
0,176,0,1,2,0,0,0,0,-1,-1,1
0,291,0,1,2,0,0,0,0,-1,-1,1
0,94,0,1,1,0,0,0,0,2321,234,1
0,37,0,1,1,0,1,0,0,1417,407,1
0,15,0,0,1,0,0,-1,-1,-1,-1,0
0,20,0,0,2,0,0,1,1,6957,347,0
0,16,1,0,2,0,0,0,0,2013,177,1
0,108,0,0,1,1,0,0,1,174,921,1
1,24,0,0,3,0,0,0,0,-1,-1,1
0,16,0,0,2,0,0,1,1,8108,290,0
0,61,0,1,2,0,0,0,0,4017,731,1
0,250,0,1,1,0,0,0,0,199,165,1
0,30,1,0,1,1,0,0,0,4817,123,1
0,113,0,1,3,1,3,0,0,-1,-1,1
0,21,1,0,1,0,0,0,0,3165,120,1
0,60,0,1,1,0,0,0,0,1445,15,1
0,269,0,1,1,0,0,0,0,3645,6,1
0,12,1,0,1,1,0,0,0,-1,-1,1
0,28,0,0,3,0,0,0,1,4126,256,0
0,77,0,4,2,1,0,0,0,367,3,1
0,18,0,0,3,1,0,0,1,7708,326,0
0,13,0,0,2,1,0,0,1,5934,274,0
0,278,0,1,2,0,0,0,0,2528,28,1
0,68,0,1,1,1,0,0,0,2055,135,1
0,20,0,0,3,0,0,-1,-1,-1,-1,0
0,185,0,1,2,0,0,0,0,1052,43,1
0,80,0,1,1,1,0,0,0,21,709,1
0,66,0,1,2,0,0,0,0,-1,-1,1
0,278,0,1,2,0,1,0,0,3545,106,1
0,341,0,1,2,1,0,0,0,326,38,1
0,63,0,1,1,1,0,0,0,967,493,1
0,49,0,1,2,0,0,0,0,5600,243,1
0,64,0,1,1,1,0,0,0,345,19,1
0,81,0,1,1,0,0,0,0,370,359,1
0,55,0,1,2,0,0,0,0,1228,232,1
0,141,0,1,1,0,0,0,0,7245,789,1
0,73,0,2,1,1,0,0,0,600,129,1
0,17,0,0,2,1,0,0,1,7241,793,0
0,90,0,1,2,1,0,0,0,1654,902,1
0,238,0,1,1,0,0,0,0,4514,233,1
0,77,0,1,2,1,0,0,0,2946,340,1
0,17,0,0,2,1,0,1,0,5558,285,0
0,75,0,1,1,1,0,0,0,4600,147,1
0,104,0,1,2,1,0,0,0,2928,2185,1
0,87,0,1,1,0,0,0,0,5078,34,1
0,222,0,1,2,0,0,0,0,-1,-1,1
0,11,1,0,1,1,0,0,0,6094,2671,0
0,68,0,1,1,1,0,0,0,3761,1716,1
1,12,0,0,3,0,0,0,0,-1,-1,0
0,50,0,0,2,1,0,0,1,-1,-1,1
0,131,0,1,2,0,0,0,0,-1,-1,1
0,70,0,1,1,0,0,0,0,2769,152,1
0,65,0,1,2,1,0,0,0,-1,-1,1
0,15,1,0,1,0,0,0,0,6715,287,1
0,29,1,0,1,1,0,0,0,4556,191,1
0,12,1,0,1,1,0,0,0,2668,253,1
0,65,0,1,2,0,0,0,0,3051,235,1
0,28,0,0,2,0,0,0,1,6975,329,0
0,94,0,1,1,0,0,0,0,1166,294,1
0,91,0,1,1,1,0,0,0,2915,371,1
0,101,0,1,1,0,0,0,0,-1,-1,1
0,344,0,1,2,1,0,0,0,-1,-1,1
0,376,0,1,2,0,0,0,0,5557,215,1
0,60,0,1,1,0,0,0,0,2394,162,1
0,67,0,4,2,1,0,0,0,367,3,1
0,12,0,0,2,1,0,0,1,8181,219,0
0,291,0,1,2,1,0,0,0,586,143,1
0,19,0,0,2,0,0,1,0,2009,181,0
0,72,0,1,1,0,0,0,0,2532,24,1
0,230,0,1,1,1,0,0,0,1626,199,1
0,123,0,1,1,1,0,0,0,939,156,1
0,77,0,1,2,1,2,0,0,-1,-1,1
0,88,0,1,2,0,0,0,0,3742,274,1
0,17,1,0,1,1,0,0,0,5407,436,1
0,70,0,1,1,1,0,0,0,4770,342,1
0,52,0,1,1,1,0,0,0,2881,40,1
0,19,0,0,2,1,0,1,1,7433,1696,0
0,108,0,1,1,0,0,0,0,1699,491,1
1,36,0,0,3,0,0,0,0,3599,-1,1
0,40,0,2,2,1,0,0,0,-1,-1,1
0,62,0,1,1,1,0,0,0,2410,146,1
0,236,0,1,1,0,0,0,0,2341,610,1
0,19,0,0,1,1,0,0,1,4143,239,0
0,187,0,1,1,0,0,0,0,5130,347,1
0,15,0,0,2,1,0,1,1,-1,372,0
0,16,0,0,2,0,1,-1,-1,-1,-1,0
0,57,0,1,2,1,0,0,0,1609,216,1
0,91,0,1,1,0,0,0,0,2321,234,1
0,140,0,1,1,0,1,0,0,1387,73,1
0,17,0,0,2,0,0,-1,-1,-1,-1,0
0,108,0,1,3,1,0,0,0,-1,-1,1
0,79,0,1,1,1,1,0,0,3001,285,1
0,105,0,1,1,0,0,0,0,1699,491,1
0,76,0,1,1,0,0,0,0,2925,361,1
0,56,0,1,2,0,0,0,0,986,109,1
0,67,0,1,1,0,1,0,0,1240,220,1
0,65,0,1,1,0,0,0,0,5597,246,1
0,677,0,10,2,0,0,0,0,3954,63,1
0,283,0,1,1,0,0,0,0,1094,366,1
0,75,0,1,2,0,0,0,0,4375,7,1
0,88,0,4,1,1,0,0,0,5000,477,1
1,54,0,0,3,0,0,0,0,-1,-1,1
0,13,0,0,1,0,0,-1,-1,-1,-1,0
0,109,0,1,2,0,0,0,0,478,251,1
0,97,0,1,2,1,1,0,0,4577,170,1
0,175,0,1,1,1,0,0,0,1233,227,1
1,16,0,0,3,0,0,0,0,153,-1,1
0,96,0,1,2,0,0,0,0,7728,305,1
0,21,0,0,3,1,0,1,1,-1,-1,0
1,18,0,0,3,0,0,0,0,738,-1,1
0,62,0,1,1,1,0,0,0,7399,269,1
0,81,0,1,2,1,0,0,0,-1,-1,1
0,78,0,1,2,1,0,0,0,-1,-1,1
0,11,0,0,1,0,0,1,0,9107,387,0
0,95,0,1,1,1,0,0,0,1715,475,1
0,58,0,1,1,1,0,0,0,4770,342,1
0,280,0,1,2,0,0,0,0,4375,7,1
0,24,0,0,2,0,0,0,1,-1,-1,0
0,78,0,1,1,0,0,0,0,1803,387,1
0,137,0,1,1,0,0,0,0,7245,789,1
0,10,1,0,1,1,0,0,0,2756,165,1
0,114,0,1,2,0,0,0,0,1732,94,1
1,41,0,0,3,0,0,0,0,-1,-1,1
0,67,0,1,2,0,0,0,0,1287,173,1
0,81,0,1,1,1,0,0,0,1954,236,1
0,68,0,1,1,1,0,0,0,2162,28,1
0,38,0,1,1,1,0,0,0,-1,-1,1
0,111,1,0,1,1,0,0,0,-1,-1,1
0,263,0,1,1,1,0,0,0,6367,1667,1
0,81,0,1,1,1,0,0,0,7399,269,1
0,63,0,1,1,1,0,0,0,644,85,1
0,72,0,1,1,1,0,0,0,7436,232,0
0,84,0,1,2,1,0,0,0,3083,203,1
0,68,0,1,1,1,0,0,0,7399,269,1
1,34,0,0,3,0,0,0,0,3549,-1,1
0,16,0,0,1,1,0,1,1,6817,853,0
0,49,0,0,2,1,0,0,1,-1,-1,1
0,90,0,1,2,0,0,0,0,-1,-1,1
0,81,0,1,2,1,0,0,0,552,177,1
1,113,0,0,3,0,0,0,0,832,-1,1
0,78,0,1,1,0,0,0,0,2925,361,1
0,73,0,0,2,1,0,0,1,-1,-1,1
0,58,0,1,2,0,0,0,0,637,92,1
0,116,0,1,2,0,0,0,0,1732,94,1
1,62,0,0,3,0,0,0,0,-1,-1,1
0,117,0,0,1,0,6,0,1,1779,46,1
0,275,0,0,1,0,0,0,1,6677,1142,1
1,31,0,0,3,0,0,0,0,3835,-1,1
0,92,0,1,2,0,0,0,0,5066,777,1
0,71,0,1,3,1,0,0,0,3466,2377,1
0,11,1,0,1,0,0,0,0,2734,553,1
0,285,0,1,1,1,0,0,0,3177,109,1
0,29,0,0,2,0,2,1,1,-1,-1,1
0,20,1,0,1,1,0,0,0,6058,2707,1
0,219,0,1,1,0,0,0,0,2341,610,1
0,49,0,1,2,0,0,0,0,4966,65,1
0,13,0,0,2,0,0,1,0,395,334,0
0,93,0,1,2,1,1,0,0,4577,170,1
0,152,1,0,1,1,0,0,0,-1,-1,1
0,359,0,1,2,0,1,0,0,2044,511,1
0,49,0,1,1,1,0,0,0,700,29,1
0,19,0,0,3,0,0,1,1,-1,-1,0
0,72,0,1,1,0,0,0,0,209,155,1
0,69,1,0,1,1,0,0,0,-1,-1,1
0,118,0,1,1,0,0,0,0,367,1458,1
0,52,0,1,1,1,0,0,0,1738,452,1
0,17,0,0,2,1,0,0,1,3832,184,0
0,24,0,0,2,1,0,1,1,7931,102,0
0,58,0,1,2,0,0,0,0,-1,-1,1
0,17,0,0,3,0,0,-1,-1,-1,-1,0
0,152,0,1,1,0,0,0,0,2224,331,1
0,123,0,1,1,0,0,0,0,367,1458,1
0,119,0,1,1,1,0,0,0,414,315,1
0,112,0,1,3,1,0,0,0,-1,-1,1
0,142,0,1,1,1,1,0,0,310,54,1
0,32,0,1,1,1,0,0,0,63,301,1
0,77,0,1,2,0,0,0,0,1488,337,1
0,56,0,1,1,1,0,0,0,3761,1716,1
0,15,0,0,3,0,0,0,1,-1,-1,0
0,105,0,1,3,0,0,0,0,2724,1293,1
0,104,0,1,2,0,0,0,0,-1,-1,1
0,24,1,0,1,1,0,0,0,3050,235,1
0,27,0,0,3,1,0,1,0,5050,62,0
0,25,0,1,1,1,0,0,0,4226,-1,1
0,20,1,0,1,1,0,0,0,2755,166,1
0,21,0,0,2,1,0,1,1,6186,22,0
0,13,0,0,2,1,0,1,0,9447,412,0
0,20,0,0,2,1,0,1,0,7138,166,0
0,62,0,1,2,0,0,0,0,1388,72,1
0,209,0,1,1,0,0,0,0,1357,103,1
0,39,0,1,1,1,0,0,0,63,301,1
0,91,0,1,1,1,0,0,0,1715,475,1
1,27,0,0,3,0,0,0,0,-1,-1,1
0,79,0,1,1,0,0,0,0,1251,209,1
0,69,0,1,1,1,0,0,0,2055,135,1
0,17,0,0,2,1,0,1,0,7999,765,0
0,67,0,1,1,1,0,0,0,345,19,1
0,67,0,1,3,0,0,0,0,1769,56,1
0,93,0,1,1,0,0,0,0,1167,293,1
0,63,0,1,1,0,0,0,0,-1,-1,1
0,75,0,1,1,1,0,0,0,3761,1716,1
0,25,1,0,1,1,0,0,0,6059,2706,1
0,22,0,0,2,1,0,1,0,6418,155,0
0,24,1,0,1,1,0,0,0,6060,2705,1
0,181,0,1,1,0,0,0,0,5130,347,1
0,57,0,1,3,1,0,0,0,1968,953,1
0,87,0,1,1,1,0,0,0,31,333,1
0,284,0,1,2,0,0,0,0,-1,-1,1
0,24,0,0,2,1,0,1,1,8723,406,0
0,70,0,1,2,1,0,0,0,2513,408,1
0,60,0,1,1,1,0,0,0,-1,-1,1
1,36,0,0,3,0,0,0,0,3355,-1,1
0,66,0,1,1,1,0,0,0,3761,1716,1
0,105,0,1,2,0,0,0,0,3918,99,1
0,81,0,1,2,0,0,0,0,3137,149,1
0,70,0,1,1,0,0,0,0,2328,227,1
1,158,0,0,3,0,0,0,0,-1,-1,1
0,20,1,0,1,1,0,0,0,-1,-1,0
0,94,0,1,1,0,0,0,0,3596,786,1
0,273,0,1,2,0,0,0,0,405,41,1
1,22,0,0,3,0,0,0,0,-1,-1,1
0,56,0,1,1,1,3,0,0,142,222,1
0,348,0,1,2,1,0,0,0,326,38,1
0,274,0,1,1,1,0,0,0,2571,350,1
0,18,0,0,2,1,0,0,1,4578,169,0
0,62,0,1,1,0,0,0,0,3309,372,1
0,19,0,0,2,0,0,1,1,7882,153,0
0,72,0,1,1,0,0,0,0,1131,329,1
0,39,0,1,2,1,1,0,0,7478,190,0
0,78,0,1,1,0,0,0,0,4514,233,1
0,29,0,0,2,1,1,1,1,239,125,1
0,128,0,1,1,0,0,0,0,3309,372,1
0,13,1,0,1,1,0,0,0,-1,-1,0
0,16,0,0,2,0,1,1,0,7623,45,0
0,26,1,0,1,0,0,0,0,6715,287,1
0,19,0,0,2,1,0,1,1,4673,1170,0
0,61,0,1,2,1,0,0,0,2683,3160,1
0,112,0,1,1,1,0,0,0,7399,269,1
0,149,0,1,2,0,0,0,0,-1,-1,1
0,56,0,1,1,0,0,0,0,2931,355,1
0,15,0,0,1,1,0,1,0,2701,220,0
0,32,1,0,1,1,0,0,0,5440,403,0
1,207,0,0,3,0,0,0,0,485,-1,1
0,75,0,1,1,0,0,0,0,2925,361,1
0,18,0,0,1,0,0,1,1,122,242,1
1,46,0,0,3,0,0,0,0,2737,-1,1
0,12,1,0,1,1,0,0,0,6716,286,1
0,71,0,1,1,0,0,0,0,1976,214,1
0,12,0,0,2,1,0,1,1,7797,3524,0
0,93,0,1,2,1,0,0,0,1654,902,1
0,79,0,1,1,0,0,0,0,1804,386,1
0,32,0,0,1,0,0,1,1,1522,303,1
0,68,0,1,2,1,1,0,0,1842,348,1
0,18,0,0,2,1,0,1,1,4509,238,0
0,28,1,0,1,1,0,0,0,-1,-1,1
0,270,0,1,1,0,0,0,0,4514,233,1
0,61,0,1,1,1,0,0,0,2566,355,1
0,82,0,1,1,0,0,0,0,371,724,1
0,53,0,1,2,0,0,0,0,5600,243,1
0,216,0,1,1,0,0,0,0,2340,611,1
0,72,0,1,2,0,0,0,0,810,284,1
0,18,0,0,2,1,0,1,1,4000,1113,0
0,67,0,1,2,1,0,0,0,-1,-1,1
0,23,0,0,2,1,0,1,0,7975,1031,0
0,87,0,1,1,1,0,0,0,7399,269,1
0,238,0,0,0,0,0,1,1,-1,-1,1
0,327,0,1,1,1,0,0,0,36,328,1
0,79,0,1,2,1,0,0,0,1798,27,1
0,206,0,1,1,0,0,0,0,-1,-1,1
0,12,0,0,2,1,0,0,1,8144,249,0
0,239,0,1,2,0,1,0,0,3545,106,1
0,75,0,1,3,1,0,0,0,477,252,1
0,18,0,0,2,1,0,1,0,3403,248,0
0,174,0,1,1,1,0,0,0,6945,725,1
0,66,0,0,1,0,0,0,1,721,8,1
0,87,0,1,2,1,0,0,0,1654,902,1
0,288,0,1,2,0,0,0,0,-1,-1,1
0,79,0,1,1,0,0,0,0,370,359,1
0,12,0,0,2,1,0,1,1,7672,361,0
0,52,0,1,1,0,0,0,0,5809,34,1
1,69,0,0,3,0,0,0,0,-1,-1,1
1,12,0,0,3,0,0,0,0,799,-1,1
0,72,0,1,1,0,0,0,0,2925,361,1
0,83,0,1,2,1,0,0,0,-1,-1,1
0,61,0,1,2,0,0,0,0,-1,-1,1
0,50,0,1,1,0,0,0,0,2319,236,1
0,65,0,0,1,1,0,0,1,7129,906,1
0,86,0,1,2,0,0,0,0,1726,99,1
0,100,0,1,1,1,0,0,0,2930,356,1
0,90,0,1,1,1,0,0,0,2706,215,1
0,124,0,1,2,1,0,0,0,1102,358,1
0,28,0,0,3,1,0,0,1,5050,62,0
0,316,0,1,2,0,0,0,0,2862,59,1
0,10,0,0,2,0,0,-1,-1,-1,-1,0
0,44,0,1,1,1,0,0,0,3799,-1,1
0,9,0,0,1,0,0,-1,-1,-1,-1,0
1,115,0,0,3,0,0,0,0,835,-1,1
1,117,0,0,3,0,0,0,0,832,-1,1
0,100,0,1,1,1,0,0,0,1497,328,1
0,15,0,0,2,0,0,1,0,7087,583,0
0,278,0,1,2,0,0,0,0,-1,-1,1
0,17,0,0,1,0,0,1,1,4590,888,0
0,285,0,1,1,0,0,0,0,1285,175,1
1,78,0,0,3,0,0,0,0,-1,-1,1
0,75,0,1,1,1,0,0,0,1497,328,1
0,52,0,5,2,1,0,0,0,367,3,1
0,66,0,1,1,0,0,0,0,506,223,1
0,104,0,1,1,0,0,0,0,1092,368,1
0,15,0,0,2,0,0,0,1,7070,234,0
0,72,0,1,1,0,0,0,0,661,68,1
1,47,0,0,3,0,0,0,0,-1,-1,1
0,202,0,1,1,0,0,0,0,4124,258,1
0,21,0,0,2,1,0,1,1,522,207,1
0,80,0,1,1,1,0,0,0,281,83,1
0,11,0,0,2,1,0,1,0,11142,3179,0
0,109,0,1,1,0,0,0,0,1286,174,1
0,72,0,1,1,1,0,0,0,7399,269,1
0,62,0,1,1,0,0,0,0,4514,233,1
0,114,0,1,2,1,0,0,0,552,177,1
0,117,0,1,3,0,0,0,0,-1,-1,1
1,66,0,0,3,0,0,0,0,1610,-1,1
0,11,0,0,1,0,0,0,1,5758,816,0
0,99,0,1,1,0,0,0,0,330,34,1
0,12,1,0,1,1,0,0,0,4005,12,1
0,97,0,1,1,1,0,0,0,1775,50,1
1,38,0,0,3,0,0,0,0,4466,-1,1
0,52,0,1,1,0,0,0,0,1647,178,1
0,153,0,1,1,1,0,0,0,2191,364,1
0,68,0,1,1,0,0,0,0,1445,15,1
0,244,0,1,1,1,0,0,0,182,182,1
0,221,0,1,2,0,0,0,0,3641,375,1
0,61,0,1,1,0,0,0,0,1445,15,1
0,62,0,1,3,0,0,0,0,1769,56,1
0,80,0,1,1,0,0,0,0,1081,14,1
0,55,0,1,1,0,0,0,0,2305,250,1
0,72,0,1,1,1,0,0,0,3178,108,1
0,77,0,1,2,1,0,0,0,2060,130,1
0,214,0,1,1,1,0,0,0,7399,269,1
0,66,0,1,1,0,1,0,0,325,39,1
0,239,0,1,1,0,0,0,0,4514,233,1
0,92,0,1,1,1,0,0,0,2336,219,1
0,150,0,1,2,1,0,0,0,649,80,1
0,79,0,1,2,1,0,0,0,2060,130,1
0,34,0,0,2,1,0,0,0,5629,214,0
0,33,0,0,2,1,0,0,0,451,278,0
0,16,0,0,2,1,0,0,0,7072,598,0
0,45,0,0,2,1,0,0,0,-1,-1,0
0,48,0,0,4,0,0,0,0,-1,-1,0
0,229,0,0,1,0,0,0,0,3299,352,1
0,18,0,0,2,1,0,0,0,4093,1385,0
0,34,0,0,2,1,0,0,0,-1,-1,1
0,17,0,0,2,0,0,0,0,1003,92,0
0,10,0,0,1,0,0,0,0,38,326,0
0,46,0,0,2,1,2,0,0,5719,124,1
0,86,0,0,1,1,0,0,0,6071,502,1
0,301,0,1,1,0,0,0,0,2566,355,1
0,126,0,0,3,0,1,0,0,-1,-1,1
0,15,0,0,3,1,0,0,0,-1,-1,0
0,154,0,0,1,0,0,0,0,2936,350,1
0,15,0,0,2,0,0,0,0,7462,206,0
0,16,0,0,3,1,0,0,0,-1,-1,0
0,161,0,0,10,0,5,0,0,-1,-1,1
0,44,0,0,1,0,1,0,0,2546,10,1
0,18,0,0,3,0,0,0,0,-1,-1,0
0,14,0,0,2,0,0,0,0,-1,-1,0
0,60,0,0,1,1,0,0,0,6703,235,1
0,14,0,0,3,1,0,0,0,-1,-1,0
0,67,0,0,2,0,0,0,0,-1,-1,1
0,14,0,0,2,1,0,0,0,-1,-1,0
0,12,0,0,2,0,0,0,0,-1,-1,0
0,9,0,0,2,0,0,0,0,-1,-1,0
0,56,0,0,1,0,0,0,0,6576,1823,1
0,20,0,0,2,0,0,0,0,8378,386,0
0,33,0,0,1,1,0,0,0,-1,-1,1
0,18,0,0,2,1,0,0,0,3808,208,0
0,37,0,0,1,1,0,0,0,1946,244,1
0,22,0,0,1,1,0,0,0,23,341,1
0,13,0,0,1,0,0,0,0,1122,338,0
0,18,0,0,2,0,0,0,0,7071,599,0
0,25,0,0,1,1,0,0,0,1190,270,1
0,20,0,0,2,1,0,0,0,-1,-1,0
0,46,0,0,2,1,0,0,0,-1,-1,1
0,24,0,0,2,1,0,0,0,-1,-1,1
0,22,0,0,2,0,0,0,0,6456,482,0
0,48,0,0,1,1,0,0,0,1037,58,1
0,29,0,0,2,0,0,0,0,8298,101,0
0,16,0,0,2,0,0,0,0,8217,1279,0
0,14,0,0,2,0,0,0,0,795,66,0
0,49,0,0,1,1,0,0,0,1828,362,1
0,14,0,0,2,0,0,0,0,6446,612,0
0,20,0,0,2,0,0,0,0,5827,16,0
