domain_in_ip,length_url,url_shortened,qty_at_url,qty_dot_domain,tls_ssl_certificate,qty_hyphen_domain,qty_underline_domain,url_google_index,domain_google_index,time_domain_activation,time_domain_expiration,phishing
0,22,0,0,1,1,0,0,0,0,2834,87,0
0,93,0,0,2,1,0,0,0,0,345,384,1
0,117,0,0,2,0,1,0,0,0,-1,-1,1
0,15,0,0,2,1,0,0,0,0,8005,57,0
0,19,0,0,2,1,0,0,0,0,5629,214,0
0,14,0,0,1,0,0,0,0,0,5762,81,0
0,12,0,0,1,1,0,0,0,0,5766,3185,0
0,18,0,0,2,0,0,0,0,0,29,335,0
0,17,0,0,2,0,0,0,0,0,64,300,0
0,18,0,0,1,1,0,0,0,0,7436,232,0
0,12,0,0,2,0,0,0,0,0,-1,-1,0
0,16,0,0,2,0,0,0,0,0,6133,1901,0
0,44,0,0,2,1,0,0,0,0,-1,-1,1
0,13,0,0,1,1,1,0,0,0,42,322,0
0,32,0,0,2,0,0,0,0,0,5803,405,0
0,147,0,1,1,0,0,0,0,0,7246,788,1
0,18,0,0,2,1,0,0,0,1,7933,1926,0
0,13,0,0,2,1,0,0,0,0,7018,286,0
0,70,0,0,2,1,0,0,0,0,7689,710,0
0,18,0,0,2,1,0,0,0,0,4149,233,0
0,15,0,0,1,0,0,0,0,0,1325,135,0
0,39,0,0,1,1,0,0,0,0,4016,1097,1
0,18,0,0,2,1,0,0,0,0,10673,282,0
0,28,0,0,2,1,0,0,0,0,-1,-1,0
0,26,0,0,2,0,0,0,0,0,6559,83,0
0,173,0,0,3,1,0,0,0,0,7137,167,1
0,88,0,0,1,0,0,0,0,0,1464,361,1
0,26,0,0,3,1,0,0,0,0,-1,-1,0
0,47,0,0,1,1,0,0,0,0,1212,248,1
0,38,0,0,2,1,0,0,0,0,-1,-1,1
0,34,0,0,2,0,0,0,0,0,-1,-1,1
0,12,0,0,2,0,0,0,0,0,6886,53,0
0,39,0,0,2,0,0,0,0,0,4602,876,0
0,22,0,0,1,1,0,0,0,0,4942,170,0
0,18,0,0,2,0,0,0,0,0,-1,-1,0
0,102,0,0,1,1,0,0,0,0,592,137,1
0,268,0,0,1,0,3,0,0,0,219,145,1
0,21,0,0,2,0,0,0,0,0,7333,335,0
0,12,0,0,2,0,0,0,0,0,7029,275,0
0,32,0,0,1,1,0,0,0,0,-1,-1,1
0,64,0,0,3,1,0,0,0,0,-1,-1,1
0,22,0,0,2,1,0,0,0,0,-1,-1,0
0,67,0,0,2,0,0,0,0,0,954,872,1
0,11,0,0,1,0,0,0,0,0,4592,57,0
0,16,0,0,2,0,0,0,0,0,4775,337,0
0,20,0,0,2,0,0,0,0,0,426,303,0
0,56,0,0,1,0,0,0,0,0,2886,35,1
0,20,0,0,2,1,0,0,0,0,5557,1382,0
0,114,0,0,2,0,0,0,0,0,-1,-1,1
0,22,0,0,2,0,1,0,0,0,-1,-1,0
0,19,0,0,2,1,0,0,0,0,6443,130,0
0,21,0,0,1,0,0,0,0,0,3212,74,1
0,20,0,0,2,0,0,0,0,0,7962,436,0
0,32,0,0,1,0,0,0,0,0,1013,82,1
0,22,0,0,3,1,0,0,0,0,-1,-1,0
0,18,0,0,2,0,0,0,0,0,6586,1083,0
0,41,0,0,2,0,0,0,0,0,4158,224,1
0,13,0,0,1,0,0,0,0,0,7817,1246,0
0,25,0,0,2,1,1,0,0,0,5652,191,0
0,10,0,0,2,1,0,0,0,0,4411,3260,0
0,20,0,0,2,0,0,0,0,0,970,125,1
0,29,0,0,2,0,0,0,0,0,1554,271,1
0,14,0,0,2,1,0,0,0,0,5347,862,0
0,23,0,0,2,0,0,0,0,0,7406,262,0
0,41,0,0,2,1,1,0,0,0,-1,-1,1
0,72,0,1,2,1,0,0,0,0,4071,311,1
0,50,0,0,2,1,0,0,0,0,-1,-1,1
0,29,0,0,1,0,0,0,0,0,2779,142,1
0,17,0,0,2,1,0,0,0,0,871,238,0
0,47,0,0,2,0,0,0,0,0,1942,248,1
0,17,0,0,2,1,0,0,0,0,4330,52,0
0,14,0,0,2,0,0,0,0,0,-1,-1,0
0,17,0,0,2,0,0,0,0,0,5194,283,0
0,49,0,0,2,1,0,0,0,0,2715,937,1
0,22,0,0,2,0,2,0,0,0,6743,195,0
0,30,0,0,2,1,0,0,0,0,-1,-1,0
0,47,0,0,2,1,1,0,0,0,42,322,1
0,54,0,0,3,0,0,0,0,0,-1,-1,1
0,37,0,0,1,0,0,0,0,0,2405,151,1
0,165,0,0,1,1,0,0,0,0,2137,53,1
0,41,0,0,2,1,0,0,0,0,-1,-1,1
0,26,0,0,3,1,0,0,0,0,1951,239,0
0,10,0,0,2,1,0,0,0,0,5206,637,0
0,49,0,0,1,0,0,0,0,0,331,33,1
0,70,0,0,3,1,0,0,0,0,6294,278,0
0,21,0,0,2,0,0,0,0,0,3312,2166,0
0,19,0,0,2,1,0,0,0,0,3959,789,0
0,20,0,0,2,1,1,0,0,0,59,305,1
0,23,0,0,2,0,0,0,0,0,5869,339,0
0,38,0,0,2,1,0,0,0,0,10674,281,0
0,63,0,0,3,1,0,0,0,0,-1,-1,1
0,57,0,0,4,0,0,0,0,0,-1,-1,1
0,10,0,0,1,0,0,0,0,0,8161,237,0
0,14,0,0,2,1,0,0,0,0,1061,399,0
0,30,0,0,1,1,0,0,0,0,513,216,1
0,18,0,0,2,0,0,0,0,0,4736,376,0
0,21,0,0,4,1,0,0,0,0,7979,-1,0
0,15,1,0,1,1,0,0,0,0,3048,237,1
0,26,0,0,2,0,0,0,0,0,6636,1398,0
0,123,0,1,1,1,0,0,0,0,939,156,1
0,22,0,0,1,1,0,0,0,0,3197,89,0
0,17,0,0,2,0,0,0,0,0,8189,211,0
0,21,0,0,2,0,0,0,0,0,5569,274,0
0,18,0,0,2,1,1,0,0,0,-1,-1,1
0,14,0,0,1,0,0,0,0,0,4853,259,0
0,22,0,0,2,1,0,0,0,0,7187,482,0
0,14,0,0,1,0,0,0,0,0,2088,833,0
0,39,0,0,2,0,0,0,0,0,1164,296,1
0,14,0,0,1,0,0,0,0,0,3626,25,0
0,34,0,0,2,1,0,0,0,0,-1,-1,1
0,18,0,0,3,0,0,0,0,0,8006,-1,0
0,50,0,0,2,1,0,0,0,0,9764,1192,0
0,14,0,0,1,1,0,0,0,0,66,298,1
0,33,0,0,2,0,0,0,0,0,-1,-1,0
0,20,0,0,2,1,0,0,0,0,5858,350,0
0,13,0,0,2,0,0,0,0,0,7271,32,0
0,27,0,0,2,1,0,0,0,0,-1,-1,0
0,10,0,0,1,0,0,0,0,0,-1,-1,1
0,20,0,0,2,0,0,0,0,0,340,24,0
0,41,0,0,2,0,0,0,0,0,8024,9,1
0,20,0,0,2,0,1,0,0,0,-1,-1,0
0,19,0,0,2,0,0,0,0,0,7998,277,0
0,63,0,0,5,0,0,0,0,0,-1,-1,1
0,16,0,0,2,1,0,0,0,0,7132,172,0
0,13,0,0,1,0,0,0,0,0,3861,155,0
0,63,0,0,4,0,0,0,0,0,-1,-1,1
0,15,0,0,1,1,0,0,0,0,7773,260,0
0,21,0,0,2,1,0,0,0,0,-1,-1,0
0,26,0,0,2,1,0,0,0,0,-1,-1,1
0,72,0,0,2,1,0,0,0,0,1079,16,1
0,20,0,0,2,0,0,0,0,0,2095,95,0
0,65,0,0,2,1,0,0,0,0,5978,1691,0
0,15,0,0,2,0,0,0,0,0,6175,33,0
0,60,0,0,2,0,0,0,0,0,-1,-1,1
0,18,0,0,2,0,0,0,0,0,3224,62,0
0,204,0,0,1,1,0,0,0,0,2311,610,1
0,38,0,0,1,0,0,0,0,0,2690,962,1
0,61,0,0,1,1,0,0,0,0,27,337,1
0,32,0,0,2,0,0,0,0,0,-1,-1,1
0,25,0,0,2,0,0,0,0,0,335,29,0
0,16,0,0,2,1,0,0,0,0,4494,253,0
0,23,0,0,2,1,0,0,0,0,3753,263,0
0,35,0,0,2,1,0,0,0,0,864,596,1
0,21,0,0,2,0,0,0,0,0,7117,187,0
0,13,0,0,2,0,0,0,0,0,5626,1313,0
0,79,0,0,2,1,3,0,0,0,-1,-1,1
0,72,0,0,1,0,0,0,0,0,1819,6,1
0,42,0,0,2,0,3,0,0,0,-1,-1,1
0,23,0,0,2,0,0,0,0,0,5775,68,0
0,17,1,0,1,0,0,0,0,0,-1,-1,1
0,19,0,0,2,0,0,0,1,1,7508,160,0
0,15,0,0,2,0,0,0,0,0,4948,164,0
0,70,0,0,1,0,0,0,0,0,1158,302,1
0,42,0,0,1,0,0,0,0,0,3329,322,1
0,16,0,0,3,1,0,0,0,0,7371,916,0
0,27,0,0,2,1,0,0,0,0,5667,176,0
0,18,0,0,2,1,0,0,0,0,8545,221,0
0,20,0,0,2,1,0,0,0,0,7199,105,0
0,15,0,0,1,1,0,0,0,0,3524,127,0
0,208,0,0,3,0,0,0,0,0,383,19,1
0,243,0,0,0,0,0,0,0,0,-1,-1,1
0,103,0,0,2,1,1,0,0,0,-1,-1,1
0,20,0,0,4,1,0,0,0,0,8142,-1,0
0,28,0,0,1,0,0,0,0,0,5459,-1,1
0,85,0,0,1,0,0,0,0,0,2200,721,1
0,24,0,0,2,0,0,0,0,0,7190,114,0
0,48,0,0,1,1,0,0,0,0,2750,536,1
0,16,0,0,2,1,0,0,0,0,3586,65,0
0,112,0,0,1,1,0,0,0,0,6501,72,1
0,58,0,0,2,0,0,0,0,0,8677,327,0
0,16,0,0,2,1,0,0,0,0,-1,-1,0
0,21,0,0,2,0,0,0,0,0,4648,99,0
0,82,0,1,2,0,0,0,0,0,-1,-1,1
0,19,0,0,1,1,0,0,0,0,4551,1657,0
0,94,0,0,2,0,0,0,0,0,4762,1446,1
0,60,0,0,3,0,0,0,0,0,-1,-1,1
0,68,0,0,2,1,0,0,0,0,-1,-1,1
0,8,0,0,1,1,0,0,0,0,666,63,0
0,12,0,0,2,0,0,0,0,0,-1,-1,1
0,45,0,0,2,0,0,0,0,0,-1,-1,0
0,51,0,0,2,1,0,0,0,0,-1,-1,1
0,15,0,0,1,1,0,0,0,0,50,314,1
0,19,0,0,2,0,0,0,0,0,5482,361,0
0,16,0,0,2,0,0,0,0,0,6907,32,0
0,11,0,0,2,0,0,0,0,0,430,299,0
0,19,0,0,2,1,0,0,0,0,1850,340,0
0,23,0,0,2,1,0,0,0,0,-1,-1,0
0,12,0,0,1,0,0,0,0,0,1093,367,0
0,26,0,0,1,1,0,0,0,0,627,102,1
0,58,0,0,1,1,0,0,0,0,3094,192,1
0,18,0,0,2,1,0,0,0,0,974,1947,0
0,62,0,0,1,1,0,0,0,0,130,234,1
0,63,0,1,1,1,0,0,0,0,-1,-1,1
0,46,0,0,2,1,0,0,0,0,-1,-1,0
0,10,0,0,1,1,0,0,0,0,7602,1892,0
0,14,0,0,1,1,0,0,0,0,-1,153,1
0,26,0,0,2,0,0,0,0,0,-1,-1,0
0,93,0,0,1,0,0,0,0,0,5346,132,1
0,9,1,0,1,0,0,0,0,0,3233,510,1
0,118,0,0,2,0,0,0,0,0,3587,64,1
0,14,0,0,2,1,0,0,0,0,5224,619,0
0,13,0,0,2,0,0,0,0,0,6197,11,0
0,19,0,0,3,0,0,0,0,0,8003,31,0
0,17,0,0,2,0,0,0,0,0,-1,-1,0
0,229,0,0,1,0,0,0,0,0,3299,352,1
0,19,0,0,2,1,1,0,0,0,2126,64,0
0,52,0,0,2,1,0,0,0,0,5274,203,0
0,49,0,0,3,0,0,0,0,0,-1,-1,1
0,25,0,0,1,1,0,0,0,0,4103,1010,0
0,66,0,0,2,0,0,0,0,0,954,872,1
0,29,0,0,2,0,0,0,0,0,-1,-1,0
0,50,0,0,1,0,0,0,0,0,2836,85,1
0,68,0,0,2,1,0,0,0,0,-1,-1,1
0,120,0,0,2,1,0,0,0,0,-1,-1,1
0,17,0,0,2,0,0,0,0,0,3943,439,0
0,20,0,0,2,0,0,0,0,0,6797,142,0
0,41,0,0,1,0,0,0,0,0,1445,15,1
0,65,0,1,1,0,0,0,0,0,4021,361,1
0,27,0,0,1,0,1,0,0,0,-1,-1,1
0,20,0,0,2,0,0,0,0,0,2095,95,0
0,28,0,0,2,1,0,0,0,0,-1,-1,0
0,19,0,0,2,0,0,0,0,0,8147,418,0
0,59,0,0,2,0,0,0,0,0,-1,-1,1
0,93,0,0,2,0,0,0,0,0,-1,-1,1
0,93,0,0,2,0,0,0,0,0,6446,492,1
0,19,0,0,2,1,0,0,0,0,7972,3348,0
0,10,0,0,1,0,0,0,0,0,252,112,0
0,15,0,0,1,1,0,0,0,0,3725,291,0
0,15,0,0,2,0,0,0,0,0,-1,-1,0
0,27,0,0,2,1,0,0,0,0,7526,1603,0
0,21,0,0,2,1,0,0,0,0,8123,275,0
0,47,0,0,3,0,0,0,0,0,-1,-1,1
0,171,0,0,2,0,0,0,0,0,-1,-1,1
0,37,0,0,1,0,0,0,0,0,-1,-1,0
0,11,0,0,1,1,0,0,0,0,1702,123,0
0,26,0,0,3,0,0,0,0,0,-1,-1,1
0,21,0,0,2,1,1,0,0,0,6080,859,0
0,48,0,0,1,0,0,0,0,0,308,56,1
0,36,0,0,2,1,0,0,0,0,-1,-1,0
0,24,0,0,2,0,0,0,0,0,-1,-1,0
0,20,0,0,2,0,2,0,0,0,8219,3469,0
0,25,0,0,1,1,0,0,0,0,6902,1133,0
0,27,0,0,1,1,0,0,0,0,8016,17,1
0,45,0,0,2,1,0,0,0,0,6696,242,0
0,12,0,0,1,0,0,0,0,0,1409,51,1
0,16,0,0,1,0,0,0,0,0,4377,5,0
0,24,0,0,3,0,0,0,0,0,-1,-1,0
0,22,0,0,2,0,0,0,0,0,7928,107,0
0,19,0,0,2,0,0,0,0,0,4733,14,0
0,94,0,0,1,1,0,0,0,0,1325,135,1
0,16,0,0,2,1,0,0,0,0,8088,310,0
0,17,0,0,2,1,0,0,0,0,7693,1071,0
0,14,0,0,1,0,0,0,0,0,8,356,0
0,23,0,0,2,1,0,0,0,0,7910,856,0
0,11,0,0,1,0,0,0,0,0,2421,500,0
0,15,0,0,1,0,0,0,0,0,6866,93,0
0,18,0,0,2,1,0,0,0,0,5610,3155,0
0,11,0,0,2,0,0,0,0,0,-1,-1,0
0,23,0,0,1,0,0,0,0,0,2730,191,0
0,28,0,0,3,0,0,0,0,0,-1,-1,0
0,74,0,0,2,0,0,0,0,0,2483,73,1
0,26,0,0,3,0,0,0,0,0,6912,392,0
0,14,0,0,2,0,0,0,0,0,4280,130,0
0,68,0,0,1,0,0,0,0,0,901,193,1
0,9,0,0,1,0,0,0,0,0,8162,1332,0
0,8,0,0,1,1,0,0,0,0,7284,750,0
0,14,0,0,2,0,0,0,0,0,3980,1133,0
0,47,0,0,2,1,0,0,0,0,-1,-1,0
0,38,0,0,2,1,0,0,0,0,-1,-1,1
0,18,0,0,2,0,0,0,0,0,7707,326,0
0,28,0,0,2,1,1,0,0,0,6899,771,0
0,23,0,0,1,1,0,0,0,0,2464,-1,0
0,6,0,0,1,1,0,0,0,0,7773,260,0
0,12,0,0,2,0,0,0,0,0,7859,176,0
0,32,0,0,2,0,0,0,0,0,-1,-1,1
0,16,0,0,3,1,0,0,0,0,-1,-1,0
0,18,0,0,2,1,0,0,0,1,7018,652,0
0,19,0,0,2,0,1,0,0,0,6708,230,0
0,42,0,0,2,1,0,0,0,0,537,192,1
0,10,0,0,1,1,0,0,0,0,4571,906,0
0,24,0,0,2,1,0,0,0,0,-1,-1,1
0,13,0,0,2,0,0,0,0,0,4647,100,0
0,17,0,0,2,0,0,0,0,0,5005,107,0
0,19,0,0,2,1,0,0,0,0,7942,91,0
0,17,0,0,1,1,0,0,0,0,1278,182,0
0,35,0,0,2,0,1,0,0,0,-1,-1,1
0,14,0,0,2,0,0,0,0,0,711,18,0
0,32,0,0,2,0,0,0,0,0,2600,321,1
0,21,0,0,2,1,0,0,0,0,6635,303,0
0,24,0,0,2,1,0,0,0,0,-1,-1,1
0,21,0,0,1,0,0,0,0,0,3233,53,1
0,16,0,0,1,1,0,0,0,0,12,352,1
0,16,0,0,2,0,0,0,0,0,-1,-1,0
0,18,0,0,1,1,0,0,0,0,6674,630,0
0,31,0,0,2,0,0,0,0,0,-1,-1,1
0,21,0,0,2,1,0,0,0,0,6967,703,0
0,16,0,0,3,1,0,0,0,0,7660,374,0
0,52,0,1,1,0,0,0,0,0,5809,34,1
0,15,0,0,2,1,0,0,0,0,8562,570,0
0,15,0,0,1,1,0,0,0,0,31,333,1
0,89,0,0,2,1,0,0,0,0,7689,710,0
0,30,0,0,2,1,0,0,0,0,6375,198,0
0,87,0,0,2,1,0,0,0,0,-1,-1,1
0,31,0,0,1,0,1,0,0,0,-1,-1,1
0,26,0,0,2,1,0,0,0,0,-1,-1,1
0,49,0,0,2,0,1,0,0,0,-1,-1,1
0,24,0,0,1,0,0,0,0,0,1123,337,0
0,40,0,0,1,0,1,0,0,0,3544,107,1
0,18,0,0,1,0,0,0,0,0,896,198,1
0,18,0,0,3,0,0,0,0,0,-1,-1,0
0,48,0,0,1,0,1,0,0,0,3707,-1,1
0,38,0,0,2,0,0,0,0,0,-1,-1,1
0,62,0,0,1,0,0,0,0,0,2925,361,1
0,10,0,0,2,1,0,0,0,0,-1,-1,0
0,43,0,0,2,1,0,0,0,0,-1,-1,1
0,62,0,0,1,1,0,0,0,0,3178,108,1
0,65,0,0,2,1,0,0,0,0,1534,74,1
0,20,0,0,3,0,0,0,0,0,6846,3411,0
0,55,0,0,1,0,1,0,0,0,928,167,1
0,42,0,0,2,1,0,0,0,0,-1,-1,1
0,13,0,0,2,0,0,0,0,0,-1,-1,0
0,13,0,0,1,0,0,0,0,0,4031,351,0
0,31,0,0,1,0,0,0,0,0,1904,652,1
0,16,0,0,1,0,0,0,0,0,1096,1,0
0,22,0,0,1,0,1,0,0,0,2585,336,0
0,34,0,0,3,0,0,0,0,0,5939,268,1
0,23,0,0,2,0,0,0,0,0,5864,344,0
0,23,0,0,1,0,0,0,0,0,6696,300,1
0,247,0,0,1,0,2,0,0,0,15,349,1
0,28,0,0,1,0,3,0,0,0,3839,177,0
0,14,0,0,1,0,0,0,0,0,6522,51,0
0,25,0,0,2,0,0,0,0,0,5838,271,0
0,16,0,0,2,1,0,0,0,0,5985,589,1
0,24,0,0,2,1,0,0,0,0,-1,-1,1
0,19,0,0,2,1,0,0,0,0,7061,609,0
0,12,0,0,2,0,0,0,0,0,7040,264,0
0,237,0,0,1,0,0,0,0,0,792,302,1
0,28,0,0,2,0,0,0,0,0,-1,-1,1
0,47,0,0,2,1,0,0,0,0,-1,-1,0
0,17,0,0,1,1,0,0,0,0,5951,623,0
0,16,0,0,2,1,0,0,0,0,6084,124,0
0,21,0,0,2,0,0,0,0,0,7428,971,0
0,20,0,0,3,0,0,0,0,0,-1,-1,0
0,160,0,0,1,1,0,0,0,0,1248,578,1
0,29,0,0,3,1,0,0,0,0,-1,-1,0
0,46,0,0,2,0,0,0,0,0,-1,-1,1
0,18,0,0,2,0,0,0,0,0,2800,121,0
0,22,0,0,2,1,0,0,0,0,7881,885,0
0,61,0,0,2,1,0,0,0,0,-1,-1,1
0,66,0,0,2,1,0,0,0,0,638,91,1
0,18,0,0,2,0,0,0,0,0,2382,173,0
0,19,0,0,1,1,0,0,0,0,1211,249,1
0,17,0,0,2,0,0,0,0,0,-1,-1,0
0,14,0,0,3,0,0,0,0,0,-1,-1,0
0,20,0,0,2,0,0,0,0,0,340,24,0
0,96,0,0,1,1,0,0,0,0,295,69,1
0,115,0,0,1,1,0,0,0,0,2842,79,1
0,28,0,0,2,0,0,0,0,0,4041,341,0
0,29,0,0,2,1,0,0,0,0,-1,-1,0
0,11,0,0,1,0,0,0,0,0,721,373,0
0,16,0,0,3,0,0,0,0,0,-1,-1,0
0,24,1,0,1,1,0,0,0,0,4555,192,1
0,14,0,0,2,0,0,0,0,0,6447,491,0
0,20,0,0,2,1,0,0,0,0,3785,231,0
0,20,0,0,3,1,0,0,0,0,-1,-1,0
0,12,0,0,1,1,0,0,0,0,8260,1602,0
0,22,0,0,2,0,0,0,0,0,5443,35,0
0,15,0,0,2,0,0,0,0,0,6896,408,0
0,15,0,0,1,0,0,0,0,0,70,294,0
0,24,0,0,4,1,0,0,0,0,7548,-1,0
0,34,0,0,2,0,0,0,0,0,8330,69,0
0,96,0,0,2,0,0,0,0,0,1663,162,1
0,26,0,0,3,1,0,0,0,0,8469,-1,0
0,15,0,0,2,0,0,0,0,0,-1,-1,0
0,14,0,0,2,0,0,0,0,0,-1,-1,0
0,51,0,0,2,0,0,0,0,0,-1,-1,0
0,14,0,0,3,1,0,0,0,0,7475,560,0
0,43,0,0,2,1,0,0,0,0,996,99,1
0,27,0,0,1,1,0,0,0,0,905,189,0
0,71,0,0,1,0,0,0,0,0,2470,86,1
0,12,0,0,2,1,0,0,0,0,4711,36,0
0,80,0,0,2,0,0,0,0,0,3011,275,1
0,28,0,0,2,1,0,0,0,0,7238,65,0
0,42,0,0,1,1,0,0,0,0,1122,704,1
0,23,0,0,4,0,0,0,0,0,8469,-1,0
0,43,0,0,2,1,0,0,0,0,-1,-1,1
0,42,0,0,3,0,0,0,0,0,-1,-1,1
0,26,0,0,2,0,0,0,0,0,6955,349,0
0,20,0,0,4,1,0,0,0,0,7716,-1,0
0,17,0,0,2,1,0,0,0,0,8381,383,0
0,190,0,1,1,0,0,0,0,0,5130,347,1
0,94,0,0,2,1,1,0,0,0,2014,176,1
0,59,0,0,2,0,0,0,0,0,1644,181,1
0,33,0,0,2,0,1,0,0,0,-1,-1,1
0,32,0,0,2,0,2,0,0,0,3504,512,0
0,26,0,0,4,0,0,0,0,0,8469,-1,0
0,21,0,0,1,1,0,0,0,0,3914,103,0
0,23,0,0,2,0,0,0,0,0,6329,1705,0
0,43,0,0,1,0,0,0,0,0,1177,283,1
0,20,0,0,2,1,0,0,0,0,7925,2589,0
0,16,0,0,1,0,0,0,0,0,1745,1176,0
0,21,0,0,1,1,0,0,0,0,6832,472,0
0,15,0,0,2,0,0,0,0,0,7656,12,0
0,22,0,0,2,1,0,0,0,0,6356,217,0
0,16,0,0,1,1,0,0,0,0,2997,289,1
0,16,0,0,2,1,0,0,0,0,7117,187,0
0,14,0,0,2,1,0,0,0,0,7671,1823,0
0,19,0,0,2,1,0,0,0,0,179,185,1
0,74,0,0,2,1,0,0,0,0,-1,-1,0
0,11,0,0,1,1,0,0,0,0,795,299,0
0,46,0,0,2,0,0,0,0,0,5240,237,1
0,13,0,0,2,0,0,0,0,0,8384,1111,0
0,26,0,0,2,1,0,0,0,0,-1,-1,0
0,16,0,0,1,1,0,0,0,0,7772,261,0
0,21,0,0,3,1,0,0,0,0,-1,-1,0
0,35,0,0,3,1,0,0,0,0,7286,382,0
0,63,0,0,7,0,0,0,0,0,-1,-1,1
0,114,0,0,2,1,0,0,0,0,1630,195,1
0,14,0,0,2,0,0,0,0,0,7323,345,0
0,45,0,0,2,1,0,0,0,0,7113,1287,0
0,21,0,0,2,1,0,0,0,0,1538,287,0
0,50,0,0,1,0,0,0,0,0,3036,250,1
0,15,0,0,2,0,0,0,0,0,-1,-1,0
0,16,0,0,2,0,0,0,0,0,7417,1347,0
0,17,0,0,1,0,1,0,0,0,331,33,1
0,36,0,0,1,0,0,0,0,0,1706,119,1
0,15,0,0,2,0,0,0,0,0,3963,54,0
0,32,0,0,2,0,1,0,0,0,6431,507,0
0,14,0,0,1,0,1,0,0,0,15,349,1
0,18,0,0,2,1,0,0,0,0,7374,294,0
0,15,0,0,1,1,0,0,0,0,8432,698,0
0,57,0,0,2,0,0,0,0,0,4485,262,1
0,19,0,0,2,0,1,0,0,0,1435,756,1
0,12,0,0,2,0,0,0,0,0,7180,489,0
0,16,0,0,2,0,0,0,0,0,620,474,0
0,17,0,0,2,0,0,0,0,0,6826,478,0
0,122,0,1,1,0,0,0,0,0,4950,527,1
0,13,0,0,2,1,0,0,0,0,6894,410,0
0,17,0,0,2,0,0,0,0,0,5547,1027,0
0,40,0,0,1,0,1,0,0,0,7979,54,1
0,24,0,0,4,0,0,0,0,0,8316,-1,0
0,14,0,0,2,1,0,0,0,0,5155,322,0
0,37,0,0,3,0,0,0,0,0,8023,-1,0
0,192,0,0,1,0,0,0,0,0,1644,181,1
0,18,0,0,2,1,0,0,0,0,3172,479,0
0,15,0,0,2,1,0,0,0,0,6777,527,0
